INECode,IdescatCode,Municipality,brand,province,x,y,beds,beds_by_apartment,Population,Income_Household,Income_Person,Perc_Foreing,Perc_Older65,Rental2020,Rental2019,Rental2018,Rental2017,Rental2016,Rental2015,rental_incr,Perc_TuristicHouseholds_INE,TuristicHousehold,SUP_MUNI,ORSUP_MUNI,airbnb,total_homesCat2011,DataHippo_numAirbnb_10m,perc_AirbnbOk
8156,081568,Palau-solità i Plegamans,Costa Barcelona,Barcelona,419211.482496812,4612941.31588475,23.00,7.67,14892.00,39722.00,13621.00,9.17,15.20,769.78,738.17,720.29,679.51,631.96,594.01,29.59,0.05,3.00,"14,93",B,6,4897,7,0.14
8157,081574,Pallejà,Costa Barcelona,Barcelona,378564.182239188,4624554.83024407,49.00,04.08,11622.00,39728.00,14262.00,9.22,14.10,755.80,794.54,732.50,741.48,685.36,588.41,28.45,0.25,12.00,"8,3",B,9,4147,15,0.36
8905,089058,"Palma de Cervelló, La",Costa Barcelona,Barcelona,401791.21095783,4595521.04434576,2.00,2.00,2992.00,41061.00,15370.00,9.79,14.90,703.30,670.93,663.10,638.97,581.71,560.07,25.57,0.08,1.00,"5,48",B,1,1087,1,0.09
8158,081580,"Papiol, El",Costa Barcelona,Barcelona,413404.725317151,4595521.04434576,6.00,3.00,4172.00,37167.00,13524.00,10.81,16.10,697.81,680.40,704.93,668.27,518.66,558.61,24.92,0.11,2.00,"8,94",B,2,1470,2,0.14
8159,081593,Parets del Vallès,Costa Barcelona,Barcelona,401791.21095783,4630361.58742373,10.00,2.00,19071.00,37040.00,13231.00,9.30,14.80,692.22,687.40,655.65,620.92,569.73,531.62,30.21,0.07,5.00,"9,12",B,8,6888,9,0.13
8163,081635,Pineda de Mar,Costa Barcelona,Barcelona,471472.297113756,4612941.31588475,1.677.00,5.38,27984.00,26390.00,10417.00,20.53,20.20,564.81,553.25,522.39,476.43,466.41,459.04,23.04,1.91,312.00,"10,72",B,414,10390,688,6.62
8164,081640,"Pla del Penedès, El",Costa Barcelona,Barcelona,390177.696598509,4589714.2871661,32.00,8.00,1275.00,29223.00,11698.00,8.47,17.10,398.88,469.43,426.67,438.10,392.93,402.78,-0.97,0.53,4.00,"9,49",B,10,472,14,2.97
8167,081672,Polinyà,Costa Barcelona,Barcelona,407597.968137491,4618748.07306441,0.00,,8504.00,36084.00,12401.00,8.50,10.00,680.56,647.66,631.43,526.04,563.80,521.76,30.44,0,0.00,"8,79",B,0,3002,0,0.00
8168,081688,Pontons,Costa Barcelona,Barcelona,366950.667879867,4589714.2871661,62.00,4.13,528.00,26594.00,11314.00,21.59,20.60,357.50,310.63,,344.23,302.22,,NA,2.77,15.00,"25,77",B,13,,30,NA
8169,081691,"Prat de Llobregat, El",Costa Barcelona,Barcelona,425018.239676472,4572294.01562712,258.00,2.87,65385.00,33106.00,12408.00,13.60,18.70,750.33,729.94,710.22,636.62,612.85,590.49,27.07,0.33,90.00,"33,57",B,118,24253,122,0.50
8230,082303,Premià de Dalt,Costa Barcelona,Barcelona,430824.996856133,4607134.55870509,123.00,6.47,10441.00,45692.00,15706.00,12.57,17.50,1083.61,993.31,922.71,884.70,834.95,760.91,42.41,0.46,19.00,"6,47",B,50,3755,74,1.97
